ma_geo_id	ma_vote_id	ctyvtd	statefp10	countyfp10	vtdst10	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	recordno	logrecno	county	vtd	name	precinct_code	town	prec_number	citizen	democrat	green	independent	libertarian	npa	other	reform	republican	unknown	total	dem_pct	vap	pop100
1144	"1072"	"17 3174"	25	17	"3174"	"250173174"	"A"	"Lowell Ward 6 Precinct 2"	"Lowell Ward 6 Precinct 2"	0	"G5240"	"N"	2504754	364393	42.650593	-71.353424	70000000	119647	17	"3174"	"Lowell Ward 6 Precinct 2"	"LOWELL-06-002"	"LOWELL"	"06-002"	"0"	"617"	"0"	"1"	"2"	"794"	"3"	"0"	"159"	"0"	"1576"	"0.795103073"	2949	3683
1145	"1073"	"17 3175"	25	17	"3175"	"250173175"	"A"	"Lowell Ward 6 Precinct 3"	"Lowell Ward 6 Precinct 3"	0	"G5240"	"N"	3080371	196808	42.652363	-71.36721	70000000	119723	17	"3175"	"Lowell Ward 6 Precinct 3"	"LOWELL-06-003"	"LOWELL"	"06-003"	"0"	"630"	"0"	"0"	"1"	"741"	"6"	"0"	"168"	"0"	"1546"	"0.789473712"	2721	3493
1146	"1074"	"17 3176"	25	17	"3176"	"250173176"	"A"	"Lowell Ward 7 Precinct 1"	"Lowell Ward 7 Precinct 1"	0	"G5240"	"N"	579460	240918	42.645645	-71.331894	70000000	119762	17	"3176"	"Lowell Ward 7 Precinct 1"	"LOWELL-07-001"	"LOWELL"	"07-001"	"0"	"463"	"0"	"0"	"1"	"557"	"4"	"0"	"118"	"0"	"1143"	"0.796901882"	2389	2947
1147	"1075"	"17 3177"	25	17	"3177"	"250173177"	"A"	"Lowell Ward 7 Precinct 2"	"Lowell Ward 7 Precinct 2"	0	"G5240"	"N"	518987	15962	42.643528	-71.32103	70000000	119813	17	"3177"	"Lowell Ward 7 Precinct 2"	"LOWELL-07-002"	"LOWELL"	"07-002"	"0"	"437"	"1"	"0"	"2"	"563"	"10"	"0"	"106"	"0"	"1119"	"0.804788232"	2387	3300
1148	"1076"	"17 3178"	25	17	"3178"	"250173178"	"A"	"Lowell Ward 7 Precinct 3"	"Lowell Ward 7 Precinct 3"	0	"G5240"	"N"	507467	20419	42.63889	-71.32377	70000000	119872	17	"3178"	"Lowell Ward 7 Precinct 3"	"LOWELL-07-003"	"LOWELL"	"07-003"	"0"	"349"	"0"	"0"	"1"	"546"	"6"	"0"	"98"	"0"	"1000"	"0.780760646"	2162	3023
1149	"1077"	"17 3179"	25	17	"3179"	"250173179"	"A"	"Lowell Ward 8 Precinct 1"	"Lowell Ward 8 Precinct 1"	0	"G5240"	"N"	1162496	41204	42.63016	-71.352066	70000000	119923	17	"3179"	"Lowell Ward 8 Precinct 1"	"LOWELL-08-001"	"LOWELL"	"08-001"	"0"	"438"	"1"	"0"	"4"	"571"	"6"	"0"	"95"	"0"	"1115"	"0.821763575"	2522	3354
1150	"1199"	"17 3226"	25	17	"3226"	"250173226"	"A"	"Medford Ward 1 Precinct 2"	"Medford Ward 1 Precinct 2"	0	"G5240"	"N"	698471	0	42.4213	-71.09505	70000000	123254	17	"3226"	"Medford Ward 1 Precinct 2"	"MEDFORD-1-002"	"MEDFORD"	"1-002"	"0"	"945"	"0"	"0"	"2"	"923"	"5"	"0"	"158"	"0"	"2033"	"0.856754303"	2732	3410
1151	"1200"	"17 3227"	25	17	"3227"	"250173227"	"A"	"Medford Ward 2 Precinct 1"	"Medford Ward 2 Precinct 1"	0	"G5240"	"N"	950396	3744	42.428932	-71.09391	70000000	123324	17	"3227"	"Medford Ward 2 Precinct 1"	"MEDFORD-2-001"	"MEDFORD"	"2-001"	"0"	"972"	"0"	"0"	"3"	"1056"	"7"	"0"	"147"	"0"	"2185"	"0.868632734"	2819	3527
1152	"1202"	"17 3229"	25	17	"3229"	"250173229"	"A"	"Medford Ward 3 Precinct 1"	"Medford Ward 3 Precinct 1"	0	"G5240"	"N"	4862181	360570	42.44137	-71.11234	70000000	123475	17	"3229"	"Medford Ward 3 Precinct 1"	"MEDFORD-3-001"	"MEDFORD"	"3-001"	"0"	"1101"	"0"	"0"	"4"	"1161"	"5"	"0"	"224"	"0"	"2495"	"0.830943406"	2776	3428
1153	"1203"	"17 3230"	25	17	"3230"	"250173230"	"A"	"Medford Ward 3 Precinct 2"	"Medford Ward 3 Precinct 2"	0	"G5240"	"N"	1975622	37575	42.429745	-71.133644	70000000	123571	17	"3230"	"Medford Ward 3 Precinct 2"	"MEDFORD-3-002"	"MEDFORD"	"3-002"	"0"	"1151"	"0"	"0"	"2"	"1262"	"9"	"0"	"220"	"0"	"2644"	"0.83953321"	2828	3540
1154	"1204"	"17 3231"	25	17	"3231"	"250173231"	"A"	"Medford Ward 4 Precinct 1"	"Medford Ward 4 Precinct 1"	0	"G5240"	"N"	493716	0	42.410713	-71.12318	70000000	123707	17	"3231"	"Medford Ward 4 Precinct 1"	"MEDFORD-4-001"	"MEDFORD"	"4-001"	"0"	"671"	"0"	"0"	"4"	"614"	"10"	"0"	"72"	"0"	"1371"	"0.903095543"	3079	3279
